保定市教育局,"
投诉
",河北金融学院有人冒充车站工作人员 交钱后联系不上,"
2019-10-11
"
沧州市新华区生态环境局,"
投诉
",沧州新华区鞠官屯村企业每晚排放异味 建议整治,"
2019-10-11
"
邢台市农业农村局,"
投诉
",邢台临西县2018年棉花补贴还没发放  什么原因?,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸市冀南新区泰丰经典枫丹美庐小区电梯不天然气未通,"
2019-10-11
"
馆陶县医疗保障局,"
投诉
",邯郸馆陶县生育津贴申请表有何要求？,"
2019-10-11
"
滦平县教体局,"
投诉
",承德市滦平县第五中学宿舍环境恶劣 卫生条件差,"
2019-10-11
"
石家庄市税务局,"
投诉
",石家庄融创中心强制代收契税 否则不交房,"
2019-10-11
"
沧州市运河区城市管理局,"
投诉
",沧州市运河区解放路颐和C座周边饭店私自占用公共车位,"
2019-10-11
"
三河市教育和体育局,"
投诉
",廊坊燕郊幼儿园没有办学资格证 影响孩子升学吗？,"
2019-10-11
"
省人力资源和社会保障厅,"
投诉
",请登录或通过密码查看,"
2019-10-11
"
沧州市城市管理综合行政执…,"
投诉
",沧州市一世界A座食为天饭店违章建筑,"
2019-10-11
"
保定徐水区市场监督管理局,"
投诉
",保定市徐水区众多加油站油品质量差 盼监管,"
2019-10-11
"
定州市城市管理综合行政执…,"
投诉
",定州市丽景家园小区迟迟无法供暖,"
2019-10-11
"
定州市城市管理综合行政执…,"
投诉
",定州新华城小区一房二卖 拒绝为业主调房,"
2019-10-11
"
黄骅市发改局,"
投诉
",沧州黄骅赵家堡禁止村民购买清洁煤 邻村就能买,"
2019-10-11
"
阳光理政栏目组,"
投诉
",沧州沧县东纪家洼村煤改气四年未完成 燃气炉已生锈,"
2019-10-11
"
廊坊市住房和城乡建设局,"
投诉
",廊坊三河雷捷物业不作为 卫生极差无人管,"
2019-10-11
"
保定电信分公司,"
投诉
",保定安国市电信营业厅手机卡无法使用 迟迟不解决,"
2019-10-11
"
石家庄市交通运输局,"
投诉
",石家庄车主未在智慧泊车车位停车遭胡乱收费 客服称无法处理,"
2019-10-11
"
献县发改局,"
投诉
",沧州市献县福源国际小区迟迟无法供暖,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通退卡一年也没有退款,"
2019-10-11
"
武邑县住建局,"
投诉
",衡水市武邑县御景名居6号楼迟迟不盖,"
2019-10-11
"
沧州经济技术开发区规划建…,"
投诉
",沧州市开发区逸城浅水湾小区地下室长期漏水,"
2019-10-11
"
峰峰矿区人力资源和社会保…,"
投诉
",邯郸市峰峰国家技能提升补贴迟迟不能发放到位,"
2019-10-11
"
秦皇岛市交通运输局,"
投诉
",秦皇岛老人持敬老卡无法乘坐公交车,"
2019-10-11
"
石家庄市12315指挥中…,"
投诉
",石家庄迈峰健身办卡跑路 无法退款,"
2019-10-11
"
唐山市住房和城乡建设局,"
投诉
",唐山市乐亭乐府小区57 58栋迟迟不签合同,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通低碳畅行卡不退费 已2个月,"
2019-10-11
"
石家庄市12315指挥中…,"
投诉
",石家庄康美游泳办卡一次没用 店倒闭无法退钱,"
2019-10-11
"
任丘市交通运输局,"
投诉
",沧州任丘明珠驾校驾考学员外地工作 教练拒绝注销学籍,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通电子支付有限公司故意拖延退卡费用,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通迟迟不给退费,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北一卡通ETC卡申请退费2个月无果,"
2019-10-11
"
阳光理政栏目组,"
投诉
",廊坊宸阳小区物业收取高额物业却不安监控 偷盗频繁,"
2019-10-11
"
邢台市桥东区住建局,"
投诉
",邢台市永康上东首府地产迟迟不退首付款,"
2019-10-11
"
唐山市城市管理局,"
投诉
",唐山公交闯红灯不礼让过街行人 建议进行安全教育,"
2019-10-11
"
河北一卡通电子支付服务有…,"
投诉
",河北交通一卡通工作人员联系不上 电话打不通,"
2019-10-11
"
隆化县公安局,"
投诉
",承德隆化三岔口村频繁经过超载货车 超载近十倍,"
2019-10-11
"
秦皇岛市城市管理局,"
投诉
",秦皇岛山海关火车站出口的违建迟迟不拆除,"
2019-10-11
"
徐水区住建局,"
投诉
",保定徐水悦溪城底商排卡费拖延不退还,"
2019-10-11
"
保定市商务局,"
投诉
",保定徐水区多个加油站油品质量差 损伤发动机,"
2019-10-11
"
香河县住房和城乡建设局,"
投诉
",廊坊香河百川燃气封卡强制要求补气,"
2019-10-11
"
秦皇岛市建设局,"
投诉
",秦皇岛市北戴河富力和园迟迟不通燃气,"
2019-10-11
"
廊坊市医疗保障局,"
投诉
",廊坊社保卡办理速度太慢 已申请5个月,"
2019-10-11
"
石家庄市公安局长安分局,"
投诉
",请登录或通过密码查看,"
2019-10-11
"
霸州市建设局,"
投诉
",廊坊市霸州提香小镇物业一年迟迟不给修楼梯门,"
2019-10-11
"
邯郸市建设局,"
投诉
",邯郸市龙城雅苑迟迟不动工,"
2019-10-11
"
永清县建设局,"
投诉
",廊坊市永清智慧城开发商迟迟不动工,"
2019-10-11
"
高碑店市自然资源和规划局,"
投诉
",保定市高碑店市新凯家属楼迟迟不能落宗,"
2019-10-11
"
唐山电信分公司,"
投诉
",唐山税钢小区电信4G信号弱 上网缓慢,"
2019-10-11
"
阳光理政栏目组,"
投诉
",邯郸临漳县远邦公馆已停工一年多,"
2019-10-11
"
保定竞秀区市场监督管理局,"
投诉
",保定朝阳花园小区物业违规收取高价电梯费,"
2019-10-11
"
保定清苑区市场监督管理局,"
投诉
",保定清苑泽龙集团拒不退还租金定金,"
2019-10-11
"
保定竞秀区市场监督管理局,"
投诉
",保定花园里小区乱收费 私收车位费,"
2019-10-11
"
保定竞秀区市场监督管理局,"
投诉
",保定市竞秀区祝泽园三期乱收电梯费,"
2019-10-11
"
保定莲池区市场监督管理局,"
投诉
",保定市秀兰城市美地小区强制增长物业费,"
2019-10-11
"
