?????(??)????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,3/10,??,"???????????,???????????????????????????,????????;???????????????,??????????????????????,??????,???????,??????????????????????,?????????????????????????",??,10460.09,1066.2,116.94%,???-????,???
????(??)????,AAA ??:??,????????????,??????????(??100%),?????,??????,3/10,??,"????????????????????????????????,???????????,????????????;????????,?????????????,???????,??????,17?9?????74.72%;15????????????????,????????????????????????????",??,10460.09,1066.2,116.94%,???-????,???
????????????????,AAA ??:??,???????????,?????????(??100%),?????,??????,3/10,??,"??????????????????????????,???????????????,18?GDP?6000?;??????????????????????????????,???????????????????????????,????????????????,????????;?????????????????,???????????????,??????????????,???????????????,??????,??????",??,6000,533.68,69.58%,???-???,???
??????????,AAA ??:??,??????????,??????????????????(??100%),??,??????,3/10,??,"??????????,??????????????????????????????????,?????????,?????????(?????????????,????????)???2018?9??,????????,???????????????????????????????????????????(18?9??77.29%),???????????????????????,?????????",??,4791.41,754.5,86.03%,???-???,???
????(??)??,AAA ??:??,??????????????,??????????????(??100%),?????,??????,3/10,??,-,??,32679.87,7108.1,62.84%,???,??
????????????????,AAA ??:??,???????????????,?????????????????????(??100%),?????,??????,3/10,??,"??????????,?????????,???????????????,???????????????;???????????????,???????????(??????)??????????,????????????????????????????,????????????????????;??????????,?????????????,???????BOT?????????????,???????????????;19?6?????2887?,???69.75%,??????,????????;???,?????",??,6400,446,166.59%,???-???,???
?????????????,AAA ??:??,???????????????,??????(??100%),??,??????,3/10,??,"???????????????,?????????????????????80%?????,????????98%????????????????????,????,??????????????????????????,??????????,??????????,???????????????????????????,????????19?3?????1028?,???48.4%,????????,??????,???????",??,20363,2266,441.45%,???,??
???????????(??)??????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,3/10,??,"???????????????,???????????????????,???????????????????????????;????????,?18?????????,?????????????????12%??;???????????????;??????????????,??????,???????????????????????????,?????,???????????,??????????(18?9??53.66%),???????",??,12820.4,1470,560.04%,???-???,???
??????????????,AAA ??:??,????????????,??????(??100%),-,??????,3/10,??,-,??,30320,5785.9,126.29%,???,??
??????????????,AAA ??:??,???????????????,??????????????(??100%),???????,??????,3/10,??,-,??,30320,5785.9,126.29%,???,??
?????????????(??)??????,AAA ??:??,???????????????,??????(??100%),?????,??????,3/10,??,-,??,12820.4,1470,560.04%,???-???,???
????????????,AAA ??:??,?????????????????,??????(??66.49%),????,??????,3/10,??,-,??,32679.87,7108.1,62.84%,???,??
????????????,AAA ??:??,??????????,??????(??82.09%),?????,??????,3/10,??,"?????????????????,????????82.09%???????17.91%;??2018??,???????????1?????2?????3?????4?????7?????10??,????????225.50??????????,??????????????,?????????,??????,?????????????????,??????,??????;???????,??????,????????????????????????,???????????????????,?????????????????,???????",??,15342.77,1424.2,408.79%,???-???,???
????(??)????,AAA ??:??,?????????????????,??????????????(??100%),?????,??????,3/10,??,-,??,32679.87,7108.1,62.84%,???,??
,,,,,,,,,,,,,,
?????????????,AAA ??:??,??????????,????????????(??100%),?????,??????,3/10,??,"?????????????,???????????,????,?????????;????1?2?3?6????(5??18?10??????),??????????;????????????;???????,??????,??????????????????????????????",??,18809.64,2106.19,573.44%,???,??
??????????????????,AAA ??:??,??????????,??????????????(??100%),?????,??????,3/10,??,"????????????,?????????????,?????????,???????2018?????????(?????????)??4079??,???????????????2018????????2019????????,???????????2018??????
??(??????)???????????,????????????????????,?????????????????????????????????????????????,????????????????????,????????,?????????????????????,?????????????,??????????,??????,????????,?????????,?????????????????????GDP??\17???????,??18???????????????????????",??,18809.64,2106.19,573.44%,???,??
????????????,-,-,??????????(??58.72%),?????,??????,4/10,??,-,??,32679.87,7108.1,62.84%,???,??
??????????????,AA+ ??:??,??????????,??????(??)????(??100%),??,??????,4/10,??,-,??,32679.87,7108.1,62.84%,???,??
???????????????,AA+ ??:??,?????????????????,??????????????????(??100%),?????,??????,4/10,??,-,??,-,-,-,???-???????,???????
??????????????,AA+ ??:??,???????????????,??????????????(??57.22%),?????,??????,4/10,??,-,??,36010.3,3513.7,66.23%,???,??
????????????????,AA+ ??:??,??????????,???????(??)????(??100%),?????,??????,4/10,??,"?????????????????,?????????????;??????????????????????,????????????;????????????????????????,????????????????,?????????,?????,?????????????????19?3???????374.44?,???67.62%,????????????????????????,????????????",??,4243.9,430.85,97.67%,???-???,???
????????????????,AAA ??:??,???????????,??????(??100%),?????,??????,4/10,??,"??????????????,?????????????????????,??????,????????????????,????????,?????????????????????????,???????,???????,??????;????????????,????????????????????,????????????????????????????????????,?????????(19?3??40%),??????????????????????,???????????",??,18597.5,2120,275.38%,???-???,???
?????????????,AAA ??:??,?????????????????,?????????????(??53.03%),?????,??????,4/10,??,"???????,???/600648.SH???B?/900912.SH,??????????????????????????????(??)???????——???????????????????????????,????????,??????????????????,?????????;???????,???,???????",??,10460.09,1066.2,116.94%,???-????,???
??????????????,AAA ??:??,???????????????,??????????????????(??28.31%),?????,??????,4/10,??,"???????????????,???????????????????????????,???????,????????,?????",??,2570,350,164.08%,???-???-??????,????????
????????????????,AAA ??:??,?????????????????,???????????(??99.96%),?????,??????,4/10,??,"???????????????????????????????,??????,2017????????? 2532.57?,??????146.73?,17???????4?????????????1088.44???
????????????,????AAA??,????????????????????,?????????????????????,????????????????,??????,????????????????????,18?9?????39%,????????,???????,??????,?????????",??,2533,146.73,727.08%,???-????,??????
?????????????????,AAA ??:??,?????????????????,????(??)????(??50.75%),?????,??????,4/10,??,"?????????????????????,?????,??????????????;???????,?????????????,?????????,???????????,?????????,????????????,????????,????????;????????,??????,????????,??????",??,0,86.69,74.45%,???-?????????????,???????
????????????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,4/10,??,"??????????????????????????????????,??????????????????????????????,???????????????????2018??????GDP 4791.41??,????7.7%,???????754.5??,??8.3%,????????,????????0.5?41.3?58.2;????????10.1%???,?????????????,2018???42.0%?2018?????????3.36??,????32.93%,?????????????????????,??????????;??????????,??1????????????????2018??????14.19??,???????????????????19.21??,?????????,2018???????-104.75%,??????-5.03??,?????????????,????????????????????,?????821.2??,???415.28??,?????217.40??,?????????????????,??2018??,??????14.91%,???????;????????????7.46?5.92,???????;??????,?????359.27%;?????,?????103.61??,??599.19??????????????,?????????????????,?????????,??????,??????????,??????,??????,?????????",??,4791.41,754.5,86.03%,???-???,???
??????????????,AAA ??:??,???????????,??????????????????(??100%),?????,??????,4/10,??,"?????????????,??????????,?????????,2016??????????11??????????????????????????(????000600)???????(????00956.HK)??????,??????????????????????70?????2019?3??,?????????21.82??,??????????????????????????,??????????????????",??,36010.3,3513.7,66.23%,???,??
?????????????,AAA ??:??,?????????????????,??????????(??100%),?????,??????,4/10,??,-,??,10460.09,1066.2,116.94%,???-????,???
????????????,AAA ??:??,??????????????,??????????????????(??100%),?????,??????,4/10,??,"?????????????????????, ????????? ?????? ????, ???????????,???????????????????????????,????????????,?????????????,????????,????,?????????, ???????????????????, ????????????,??????????,??2018?3??,??????????????????????????? ??? ?????????,?????????????????????,???????????,?????????????,??2018?9??,????????90??,??????????????,?????????????????",??,30320,5785.9,126.29%,???,??
,,,,,,,,,,,,,,
????(??)????,AAA ??:??,?????????????????,??????????????(??100%),????????,??????,4/10,??,-,??,32679.87,7108.1,62.84%,???,??
??????????,AAA ??:??,??????????,??????????????????(??94.5%),?????,??????,4/10,??,"????5????????,????,??????,??????????????????,??????,?????????????,?????????????????????,??????????,?????????????,??????,?????,???????,?????",??,12001.5,1231.9,219.39%,???-???,???
,,,,,,,,,,,,,,
??????????????????,AAA ??:??,???????????????,???????????(??100%),?????,??????,4/10,??,"??????????????????3,?????,?????,??????????????(??????????????????)?????????????,????????;19?3?????648?,???52%,?????????????????,???????????????,??????;?????????",??,2570,350,164.08%,???-???-??????,????????
????????????,AAA ??:??,???????????????,??????(??100%),?????,??????,4/10,??,"??????????????????????,?????????????????????,????20????(?)?????????????????????,?????????????????????????????????????????????????,???61.19%,??????,???????,???????",??,22859.35,1632.3,108.02%,???-???,???
????????????,AAA ??:??,??????????,??????????????????(??100%),?????,??????,4/10,??,"?????????,?????20???;??????????????????????????????????,??????????????????,??????????????????????,????????;16?????,????????,????????(19?3??65.53%),????????????????????;????????????(????????????),??????,???????",??,1509.5,257.3,112.91%,???-?????????,???????
????????????????,AAA ??:??,??????????,??????????????(??100%),?????,??????,4/10,??,"?????????????????????????????,???????????????????????????????????,????????????????????????????????????????????????????????????????,2018?GDP 15342.77??,???GDP???37%?????????????,?1424.2??,???????1399.78??,????,???????????2018?????????82.87??,??32.50%,????????(?????)??????????????????????,??????105.83 ??????????????116.30 ????????????,???????????????????2018??,??????871.80??,????????????????????754.09??,??????????????,??????101.43??,??557.97??,???????????????,?????117.71??,????6.41%???????????????????????????76.61 ??,??????8.79%???????654.52 ??,????????????68.15%???????????,??????????,??????341.40???????????????????????????????,???????????????????515.52??,?????112.40???????:??????????????,????????,??????,????????;??????,????????????????,?????????,?????????",??,15342.77,1424.2,408.79%,???-???,???
,,,,,,,,,,,,,,
????????(??)??????,AAA ??:??,???????????????,??????????????????(??100%),?????,??????,4/10,??,"????5????????,????,??????,??????????????????,??????,?????????????,???????
?????????????,???????????????????????????????????,?????????????,??(????????)????????,??????????????,??????,?????????????,???????????????????????,??????????,????????????,????????,19?3???????66.54%,??????,???????,??????,???????",??,12001.5,1231.9,219.39%,???-???,???
?????????????,AAA ??:??,?????????????????,??????????????????(??76.92%),?????,??????,4/10,??,"???????????????,?????????????(????),??????????????,??????????????,??????;????????,????????",??,10745.5,1379.66,227.48%,???-???,???
??????????????,AAA ??:??,?????????????????,???????????(??)??????(??98.72%),?????,??????,4/10,??,"??????????????????,???????????????????????????????????????,2017?????????15.39??,????????88.14%?????6.43%???????????????????????????,???????????104.41 ??,????????????????????,????????171.10??,?????????????????????????????????18?3??,??????144.31??,???????40%????????????????????????????",??,12820.4,1470,560.04%,???-???,???
??????????????,AAA ??:??,???????????,?????????????(??)??????(??100%),?????,??????,4/10,??,"????????????????????????,????????,?????????,??????????????????,??????,???????????,??????,??????????????????????????????????(19?3?????66%),??????????,??????????????????????????,????????????????????????????????????????",??,12820.4,1470,560.04%,???-???,???
??????????????,AAA ??:??,??????????,????????????(??100%),?????,??????,4/10,??,"2018????????????752.8?,???????1340.21?;18?????????351.27?,?????????1085.42??18??????????1179.49?,18?6??4???????(?????????????????????)??????674.80?,?????????
?????????????????,2017?????????,????????????????????????????2017??,???????5869?,????????????????,??????,????????;2018?9???????68.5%,??????????,?????????",??,7856.56,752.82,133.63%,???-???,???
,,,,,,,,,,,,,,
?????????(??)????,AAA ??:??,???????????????,??????????????????(??100%),?????,??????,4/10,??,"???????????,?????,????????????????????????????????????????????????????,????????????????????????????????????,?????19?3??????48.06%,????????????,????????,?????",??,7822.91,712.49,115.07%,???-???,???
,,,,,,,,,,,,,,
?????????????,AA+ ??:??,???????????????,???????(??100%),????,??????,4/10,??,-,??,8349.86,684.7,612.45%,???-???,???
???????????????,AA+ ??:??,??????????,???????????????(??100%),??,??????,4/10,??,"??????????,??????????????????????????????,??????,?????,18?????275?,???52%,????????,??????;??????????,????????,???????;???,?????????,?????",??,4872,518.55,326.98%,???-???,???
??????????????,AAA ??:??,?????????????????,????????????????(??100%),?????,??????,4/10,??,"???????????,GDP?????????????;??????????,??????????????????????,????;19?3???????721?,???67.58%,????????,???????,????????????????,?????????",??,2312.4,336.38,251.39%,???-???-???,???
??????????????????,AAA ??:??,???????????????,???????(??100%),?????,??????,4/10,??,-,??,8349.86,684.7,612.45%,???-???,???
????????????????,AAA ??:??,??????????????,??????????????(??100%),???????,??????,4/10,??,"???2018?GDP 5274.67?,????9%,??????461.7?,???????524?,18?????????841?,??????????
?????????????????,??????????,???????;??????????????(??????)?????????????,???????????,?????;??????????????????????,?????;???????????,????????,19?Q1????70.78%;???????????,????????",??,5274.67,461.75,315.73%,???-???,???
????????????????(??)??????,AAA ??:??,??????????,????????????????(??60%),?????,??????,4/10,??,"????????????????????,??????????,???????,???????????????????;?????????????????????????,????????????????????????????????????????,?????????????????????????19?3???????61.99%,?????????,???????????????????(3???),????????????????????????????????,1??????60?,????",??,12820.4,1470,560.04%,???-???,???
???????????,AAA ??:??,?????????????????,??????????????????(??100%),?????,??????,4/10,??,"?2017????????,??????????????,???????,???????,???????????????????????,????????????????,??????????,????35%,??????55%;?????????????;????????,??????;?????????????????;??????????;?????????",??,251.54,50.06,122.6%,???-???-???????,????????
???????????(??)??????,AAA ??:??,???????????????,??????????????????(??100%),?????,??????,4/10,??,-,??,12820.4,1470,560.04%,???-???,???
????????????,AAA ??:??,???????????,????????????(??100%),?????,??????,4/10,??,"?????????????,?????????????????????????,??????????????????????????,?????????????(??????????),???????????????????,?????????????????,????????????????,???????????;????????????????????(?????????,?????),?????????????,????????????,????????????????",??,10745.5,1379.66,227.48%,???-???,???
?????????????,AAA ??:??,??????????????,??????(??100%),?????,??????,4/10,??,"??????????????,??????????????????;????????????????????????????????;??????????????,??????,?????????????;??????????????,???????????,??????????????????????????????,???????,?66%(20190331)?????????,????????????????,????????,?????????",??,21984.8,2372.3,289.16%,???,??
???????????????,AAA ??:??,????????????,???????(??100%),?????,??????,4/10,??,"??????????????????????????????????????,????????????????????????,??????6?????,??????????????????,?????????????????????????????????,???????900??,??????,?????(?????,?????????),??????66.65%,????????,????????????",??,6082.6,519.7,117.94%,???-????,???
???????????,AAA ??:??,???????????????,??????????(??100%),?????,??????,4/10,??,"?????????????????????,???????????????????,??????????,2018????????159?,???????278.35?,????????89.16?,?????????600??
??(????)?????????????????????,??????????????,?????????????????????????????????????????,?????????????????????????????A???????????(??43.79%),????,?????????????????????????????,??????",??,1250,159,403.44%,???-???-?????,????????
??????????(??)????,AAA ??:??,??????????,??????(??100%),?????,??????,4/10,??,"?????????????????,????????????????????????,????????,?????????????,????????????;???????,????????,????????????????????????",??,20363,2266,441.45%,???,??
????????????,AA+ ??:??,????????????,??????(??100%),?????,??????,4/10,??,"????????????,2017?GDP13410.34??;??????????????,???????(???????????????,????????????????)?????(?????????????,?????????????????),????????????;????????????,???????????????,??????????;??????(18?9??67%),????????;?????????????????????????????????????????????????????",??,14847.29,1528.7,375.94%,???-???,???
??????????????????,AAA ??:??,???????????????,?????????????????(??100%),?????,??????,4/10,??,-,??,1279.67,211.82,20.16%,???-???,???
??????????????,AAA ??:??,???????????????,??????????????(??100%),?????,??????,4/10,??,"??????????????,??????????,????????????????,?????????;?????????,?????????,??????,???????????????,??????,????????????;19?3?????1606?,???69.72%,????????????????",??,14847.29,1528.7,375.94%,???-???,???
????????????,AAA ??:??,???????????????,??????????????????(??100%),?????,??????,4/10,??,"???????????,???????;??????????????????,?????????????????????????????????????,??????,????????,??????????;?????2018?3?????????582??,??????????????,?????????????????????????",??,10745.5,1379.66,227.48%,???-???,???
????????????,AAA ??:??,???????????,??????????????????(??100%),????,??????,4/10,??,"??????????????????,????????????????10??,???????????;????????????????,??????,?????????;???????????",??,7856.56,752.82,133.63%,???-???,???
????????????????,AAA ??:??,??????????,??????????????????(??100%),???????,??????,4/10,??,"?????2014?,????????????????,?????????,??????????,????????????????????????????????,????????????,??????????50%,????CBD??,??????????????????????????????????,????????,???????????,?????????????40%,???????????????,?????????????,????????????;??,????,????????????,???????????;???????68.4%,????????,?????????",??,12820.4,1470,560.04%,???-???,???
????????(??)????,AAA ??:??,???????????????,??????????????(??51.7%),?????,??????,4/10,??,"???????,??????????20??????????,?????????????????????????????????????2017??????????1749??,??????375?????????????????????????????,???????????????",??,32679.87,7108.1,62.84%,???,??
??????????,AAA ??:??,???????????????,??????????????(??100%),?????,??????,4/10,??,"????????????????,18?????????474.16?,???????360.26?,18?9????????(?????????)??????348??
??????????5???????????,?????????????????,??2018?3??,???????7345?,????????7982?,???????????????,???????????18?9???????51%?",??,8467.98,474.16,124.29%,???-???,???
??????????,AAA ??:??,??????????,??????????????????(??100%),?????,??????,4/10,??,"????????????????????????????(??????????????),??????,????????????????????,???????????????,????????????????,16~18?????????,?????????????????????????;??????????????????????????????,??????????(19?3???????71%),???????????????????????",??,2914.74,331.47,414.26%,???-???,???
??????????????,AAA ??:??,??????????,??????????????????(??100%),?????,??????,4/10,??,"???2018?GDP?7800?,?????????,??????9???????8,????????????????????????????????,????,???????????????,??????????????????,???????,???????????,????????;??????????????????65%,????????????????,?????;?????????,???????????(19?3?????47%),???????????????????129???",??,7856.81,680.38,98.27%,???-???,???
??????(??)????,AAA ??:??,?????????????????,??????(??)????(??100%),?????,??????,4/10,??,-,??,10460.09,1066.2,116.94%,???-????,???
?????????????,AAA ??:??,?????????????????,???????(??100%),???????,??????,4/10,??,"??????????,???????????????,????????????,2016????????????,?????,????????????2018?6??,????????,????????????????????????,?????????????????????????????",??,11438.62,1012.28,326.48%,???-???,???
????????????,AAA ??:??,??????????,??????????????(??100%),?????,??????,4/10,??,"????????????,???????????????,???????????????????????????????????,??????????????,???????????????????????,??????????????????,??????,?????????????;????????????;???????????????,??????????19?3????????70.78%,?????????,??????",??,15342.77,1424.2,408.79%,???-???,???
?????????????,AA+ ??:??,?????????????????,????????????(??80%),??,??????,4/10,??,-,??,10745.5,1379.66,227.48%,???-???,???
????????????,AA+ ??:??,???????????????,??????????????????(??100%),?????,??????,4/10,??,"???????????,?????????????,?????????????????;?????????????????????,?????;????????,??????1300??,????????;???????????????;18?9??????443?,?????,???????;???????",??,700.4,92.35,382.64%,???-???,???
???????????????,AA+ ??:??,???????????????,?????????????????????(??81.25%),?????,??????,4/10,??,-,??,910,94.99,346.05%,???-???,???
????????????????,AA+ ??:??,????????????,?????????????????????(??100%),?????,??????,4/10,??,-,??,1551.1,121.6,227.69%,???-???,???
??????????????????,AAA ??:??,????????????,?????????(??100%),?????,??????,4/10,??,"??????????????????????????????????????????????????,????????????????????????????,????????????????????????7???????,??????????2016 ?,?????????????????????,???????????????????????????????????,???????????????????????????,??2017?6??,???????????????,??????????????????????????????,???????????,???????????????????????,??????,??????????????????????,???????????????",??,2570,350,164.08%,???-???-??????,????????
???????????????,AAA ??:??,?????????????????,?????????(??100%),?????,??????,4/10,??,"??????????,?????????,?????????,??????????????????????????????????????????,??????????????????????,????????????,???????;???????????,???????,???????????,????????,????????????;????????????,?????????",??,2106.4,230.1,471.33%,???-???-???,???
????????????,AAA ??:??,??????????,??????????????(??100%),?????,??????,4/10,??,"?????????????????????????,???????????????????,??????????????????? ?????????,????;??????????????????????????????????????????????????????,?????????????18??????????,?????????????;??????????,???????,?????????",??,15342.77,1424.2,408.79%,???-???,???
????????????????,AAA ??:??,??????????????,???????????(??100%),?????,??????,4/10,??,"??????????????,????????,??????????????????????????,??????(????)?????(????,???????,????)?????(???????),??????????????????????(????????)???,??????,????????;????,???????????,????????????,??????????,????????,?19?3?????41.77%,?????",??,3705.18,444.43,79.51%,???????,??
?????????????,AAA ??:??,??????????,???????????(??55.39%),?????,??????,4/10,??,"?????????????????????,???????????????????????????????????????????,??????????2010??1.59??????2016??4.60???,?????????????????360??????? 10 ??????,??????????",??,-,-,-,???-???????,???????
?????????????,AA ??:??,??????????,???????????????(??100%),?????,??????,4/10,??,-,??,22859.35,1632.3,108.02%,???-???,???
????????????,AAA ??:??,??????????,??????(??100%),?????,??????,4/10,??,"???????????????????,?????????????????,2017??????????71.77%?26.22%?0.57%???????????????????23????????????????,??????????????????????????????????????????????,??????????????????????????????????????????????,????????(2017??-3.3%)?????????????????,??????????????????????????????????,????????????????????????????????????,????????(2017??94.15%)????????????,???????????????",??,4791.41,754.5,86.03%,???-???,???
????????(??)????,AA+ ??:??,???????????????,?????????????????(??100%),?????,??????,4/10,??,"??????????(???????)???,??????????????????,???????????;??????????",??,0,246.83,59.01%,???-???,???
??????????????,AAA ??:??,???????????????,??????(??100%),?????,??????,4/10,??,"???????2?????????,?????????????????????????????????????????????????,????????????????????????????????????PPP???,???????????????,?????????????????????????????????????????,?????????,18?????2672?,???70.14%,?????,????????,??????,?????????",??,48055.86,3763.9,107.08%,???,??
?????????(??)????,AAA ??:??,?????????????????,??????(??100%),?????,??????,4/10,??,-,??,20363,2266,441.45%,???,??
?????????????????,AAA ??:??,????????????,???????(??100%),?????,??????,4/10,??,"?????????????????,??????????????????????????????,?????????????????,????????????,???????????????????????????,???????2018??????????,??GDP11003.41??,??????????,????????,????????????879.91??,????70.04%,?????????598.16??,????????????????????????????????????????????????,??????????????,?????????,???????????81.03??,????????????,????4.66??,????2.35??,?????????????????????????????,???????????????????????????,?????????????????????????????,????????,?????????????,??????,????????,????????,??????????,???????",??,11003.41,879.71,348.43%,???-???,???
??????????(??)????,AAA ??:??,???????????????,????????????????(??100%),?????,??????,4/10,??,"?????2018?GDP3060?,??????458?,??????184?,???????342?,???????985?,18?6????(?????????)??????????1953?,?????????
???????????,????????????????????,????????????????????????????????????,??????(????????)???????80%??,??????????????????????;????????????????????,???????????????????,??????????????????????????????????,???????????BT?????????????;2015-2017?,?????38????????????250.13??,??????????????????????????,?????????2018?3??,?????????????673.76??,???229.19??,?????3???201.38?????2018?9?????????1813.71??,?????782??,?????????????????57.02%???????,?????????175??????,?????????16.9%,????????????????",??,3060.14,458.28,647.19%,????????-?????,???
??????(??)??????,AAA ??:??,??????????,??????????????????(??100%),?????,??????,4/10,??,"?????????????,??????,2017?GDP 11037.28?,??????1157.1?,?????3222?,?????????1062.38?,????????2217??
?????????????,???????????????,????????(?????????)???????????????,????????????,????????????;???????????,??????????????????????????????????????????,???????,???????????,18?9?????62%?",??,12001.5,1231.9,219.39%,???-???,???
?????????????,AAA ??:??,??????????,??????????????(??100%),?????,??????,4/10,??,-,??,7856.56,752.82,133.63%,???-???,???
??????????????,AAA ??:??,??????????????,??????????????(??90.72%),?????,??????,4/10,??,"???2018?GDP 5275?,??????461.75?,???????524?,?????????840?,6?????????1709.61??????????????,???????????????????,????????????????????,????????????????,2019?3??,?????????????????????????????453??,??,?????????????????????1800?(???,???????),????127??,??????????????????????????????,?????????,19?3????67.45%?",??,5274.67,461.75,315.73%,???-???,???
????????????,AA+ ??:??,??????????,??????????(??100%),?????,??????,4/10,??,"?????????,??????????,?????????????????????????????????????????????????????????????,?????????????????????????????????????????????,?????????????,?????????????????,??????????????,19?6?????55%,????????;????,????????",??,10143.32,1152.1,139.17%,???-???,???
?????????????,AAA ??:??,???????????????,??????(??100%),?????,??????,4/10,??,"???????????????,????,????????;??????????,?????????,???????????????????????;??????????????,?????????????,?????",??,11003.41,879.71,348.43%,???-???,???
????????,AA+ ??:??,???????????????,??????????????(??100%),??,??????,4/10,??,-,??,30320,5785.9,126.29%,???,??
??????????????????,AAA ??:??,???????????,??????????????(??100%),?????,??????,4/10,??,"????????????(????)???????????,????????????????????????????,????????????,????????????30???????,????????????????????????????“?????”????????,????????,???????????“?????”;????????????????,????????????????????????????,?????????????????,?????????????????????,??????????????????????,?????????????????????????????,?????????25?,???????????????;??????????????20%,??????????????;??????????????????0.1%???2018??,“?????”????62?,???????320.04??,?????93.64??,????226.40??,?????190.60??;?????????????,?????????????:1???????????????????;2???????????????????????;3??????????????;4???????",??,48055.86,3763.9,107.08%,???,??
????????????????,AA+ ??:??,??????????????,????????(??)?????????(??100%),?????,??????,4/10,??,-,??,2013.65,296.8,10.9%,???-???,???
????????????,AA+ ??:??,????????????,????????????????????(??100%),?????,??????,4/10,??,"??????????????,???????????,?????????????20?,?????????????13%;????????????????????,????????????,??????????????,???????,??????????,?????????,?????????;???????????????????????,?????,17???????????,19?3???????70.13%,???????????,?????????,????????;?????????",??,1002,115.05,169.25%,???-???-???????????,????????
?????????????????,AA+ ??:??,?????????????????,??????????????????(??100%),????????,??????,4/10,??,"????????????????,????????????????????????,????????,???????????,???????????????,????????????????????????????????,???????????,???????;?????58%,???????????????????,???????????????????(13?),??????????????",??,7856.81,680.38,98.27%,???-???,???
?????????????,AA+ ??:??,??????????,??????????????(??100%),?????,??????,4/10,??,-,??,2795.39,0,-,???-???-?????,????????
???????????????,AA+ ??:??,???????????????,??????????(??100%),?????,??????,4/10,??,"?????????,2018?GDP???9???????,????????,????????2018?????????474.16?,???????360.26??18?9????????(??????????????)??????426?,???????
?????????????,????????????????????????????2018?3??????7670.84?(????82%),??????;?????????????????;???????2017?????????,?????????????,????????????,??????,???????,??????(18?9?????51%),?????",??,8467.98,474.16,124.29%,???-???,???
