中国中车股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国中车集团有限公司(持股50.28%),建筑机械与重型卡车,中央国有企业,2/10,产业,央企序列，南北车合并组建的A+H股上市公司。偿债风险极低。,,运输设备,动车组、城市轨交制造商，中国高端制造输入行业的标杆。国内城市轨交建设近期有所降温。,国资委直属，沪港上市公司，股东背景强，外部支持强,公司在行业内为独断龙头，具有国家战略地位，近年经营稳健，收入平稳且规模大，盈利稳定，表现尚可。整体竞争力强，具备世界范围内的竞争实力，为我国高端制造输出标杆企业，持续经营能力强。,相对于公司的地位和竞争实力，公司整体负债率维持适中水平，财务弹性好，偿债风险极低。,国内轨交建设的政策门槛
大唐国际发电股份有限公司,AAA 展望:稳定,东方金诚国际信用评估有限公司,中国大唐集团有限公司(持股35.34%),电力,中央国有企业,2/10,产业,五大电力之一，外部支持力度大。,,电力,能源电力行业，大型央企具备战略重要性，市场竞争力强,大唐集团旗下沪港上市公司，央企序列，外部支持力度大,公司为大唐集团旗下能源电力运载主体，我国大型发电企业之一，业务遍及全国十多个省份，下属多家企业集中向北京输电，占北京区域用电量50%以上。公司近五年，盈利保持稳定，持续经营能力很强。,公司负债率不断攀升，截至19年3月末，负债率接近75%。近年收入有所波动，但净利润自2016年以来持续增加。公司外部支持力度大，业务竞争力强，融资弹性好，违约风险极低。,煤炭价格、用电量波动
中国华电集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国务院国有资产监督管理委员会(持股100%),电力,中央国有企业,2/10,产业,大型央企，能源供应集团，财务无风险，永续条款溢价,,电力,电力行业，关注煤炭价格波动对火电企业盈利的影响及经济增速放缓背景下，工业供电需求增速放缓,国资委直属央企，战略地位重要,中国华电集团公司是中央直接管理的国有独资公司，经国务院同意进行国家授权投资的机构和国家控股公司的试点。作为五大全国性发电企业集团之一，收入规模大，营业利润下滑幅度大,资产规模大，负债率高。但融资能力强，实际财务风险低。,盈利稳定性
华电国际电力股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中国华电集团有限公司(持股46.84%),电力,中央国有企业,2/10,产业,五大电力集团之一，整体抗风险能力较强。,,电力,火力发电，受煤价上涨因素，行业盈利面临压力，但能获得一定的外部政策支持。,公司实际控制人为国务院国资委，能够获得外部支持。,"公司为国内最大的火力发电企业华电集团旗下核心上市公司，截至2018年末，华电国际控股总装机容量为4,995.24万千瓦，较年初增长1.26%；燃煤和燃气机组装机容量占公司总装机容量90%；2018年累计发电量为2,098.54亿千瓦时，比2017年同期增长约9.46%；上网电量为1,959.92亿千瓦时，比2017年同期增长约9.32%。发电量及上网电量同比增长的主要原因是本公司服务区域电力需求旺盛以及新投产机组的电量贡献；发电机组的平均利用小时为1,959.92小时。未来公司计划加大对水电和风电等可再生能源及煤炭的开发力度。",公司整体负债水平较高，2019年3月末资产负债率高达69.84%；尽管公司近年利润受煤价影响，出现波动，但整体获现能力仍较强。公司债务负担较大，但考虑到战略地位较高，偿债压力尚可。,煤炭价格、上网小时数、投资压力、债务融资成本。
中国交通建设股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国交通建设集团有限公司(持股50.88%),建筑与工程,中央国有企业,2/10,产业,公司为上市央企公司，建筑行业龙头地位。,,建筑工程,短期看，国内经济仍需基建托底，交通建筑行业存在发展空间；长期看，中国依赖固定资产投资的经济发展模式亟待转型，建筑行业承压。,央企上市公司，中国交建/601800.SH、中国交通建设(港股通)/1800.HKS、中国交通建设/1800.HK,公司是国内最大的港口设计与建设企业，在公路、桥梁及隧道设计及建设领域居于龙头地位，具有规模优势，综合竞争力强；最近两年新签合同额保持增长，未来发展较好。海外业务规模占比高，存在海外风险。,财务规模很大，具有抗风险能力；建筑行业财务特征，财务杠杆很高，负债率74.56%（190331）；盈利和现金生成能力强，但在建项目资金压力大。,海外风险、在建压力
浙江省能源集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,浙江省国资委(持股100%),复合型公用事业,地方国有企业,2/10,产业,公司承担浙江省电力供应，规模很大，区域竞争优势十分突出，受不利经济环境影响很小,,电力,电力需求与经济走势相关性高，经济增速下滑致我国用电量低速增长；关注上网电价调整和电改对发电企业盈利的影响,浙江省国资委全资企业，承担了全省电力生产、天然气引进、供应的公共事业，具备区域重要性，外部支持基础好,"电力板块：截至2018年末，公司控股和管理电厂装机容量3,430.94万千瓦，其中火电机组容量为3,229.76万千瓦（其中，煤电2,821.10万千瓦，气电402.65万千瓦，生物质能6万千瓦），占比为95.57%；水电装机容量85.51万千瓦，占比为2.53%；风电装机容量为1.35万千瓦，占比为0.04%；光伏装机容量63.27万千瓦，占比为1.87%。公司控股和管理电厂装机容量约占全省6000千瓦及以上发电装机容量8,564.11万千瓦的40.10%，浙江省内电厂排名第一，占全国电厂发电装机容量189,967万千瓦的1.81%。2018年发行人控股及代管电厂发电量1,435.21亿千瓦时，占全省6000千瓦及以上电厂发电量3,392.82亿千瓦时的42.30%，浙江省内电厂排名第一，占全国全口径发电量69,940亿千瓦时的2.05%。
煤炭板块：公司煤炭采购和销售业务主要由子公司浙江富兴电力燃料有限公司及孙公司浙江浙能富兴燃料有限公司负责运营，业务为煤炭流通贸易，主要来自山西、内蒙、陕西和河北等地；2018年公司煤炭贸易量约7,195万吨，已经成为浙江省电煤供应的主要企业。公司拥有三个煤矿和煤炭码头中转项目。
天然气板块：公司天然气业务主要由下属天然气开发公司负责运营，下属上虞、义乌、振能、缙云、安吉等子公司取得了当地的30年的城市特许经营权；2018年公司天然气累计售气量107.86亿立方米；按不同用户分类，城市用户（含CNG用户）2018年累计售气量74.51亿立方米，燃气电厂用户2018年累计售气量33.35亿立方米。
地产板块：公司房地产业务主要由下属浙江省浙能房地产有限公司负责经营，公司在建和在售地产项目主要位于浙江省，拿地成本不高，近年销售较好；截至2019年3月末，公司仍有2个在建项目，位于浙江台州和杭州，全部为住宅类项目，预计总投资金额为52.85亿元，已投资金额为40.63亿元。",截止2019年3月底，公司负债率48.79%，财务杠杆不高，获现能力较强，货币资金充裕，财务风险很低。,电改和上网电价调整对利润影响；原材料价格（动力煤）变动对业绩影响
上海机场(集团)有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,上海市国有资产监督管理委员会(持股100%),航空,地方国有企业,2/10,产业,-,,,-,-,-,-,-
中国华能集团有限公司,AAA 展望:稳定,联合资信评估有限公司,国务院国有资产监督管理委员会(持股100%),电力,中央国有企业,2/10,产业,央企能源平台，资质优秀，风险低。,,电力,电力需求与经济走势相关性高，经济增速下滑致我国用电量低速增长；关注上网电价调整、煤炭价格波动和电改对发电企业盈利的影响,央企，国家重要能源运营平台，外部支持力度大,全国性发电企业，包括火电、水电及新能源发电，以火电为主，其盈利状况受煤价波动及上网电价调整影响较大，整体经营风险较低。,公司财务杠杆处于较高水平，经营获现能力较强，融资能力强，财务风险可控,电改和上网电价调整对利润影响；经济低迷对用电需求的影响；煤价波动
华润股份有限公司,AAA 展望:稳定,联合资信评估有限公司,中国华润总公司(持股100%),综合类行业,中央国有企业,2/10,产业,国务院国资委下属核心央企，主营业务具有较强的市场品牌和竞争力，经营业绩和获现能力很强。,,综合,消费品、医药行业周期性不强，行业发展较稳定；电力、水泥、房地产均具有周期性，电力行业受煤价上涨影响承压，水泥则受益于供给侧改革，房地产行业整体政策环境趋紧；金融业监管政策收紧，且未来扩大开放，竞争压力预计将不断加大。,公司控股股东为中国华润总公司，为国务院国资委管辖核心央企之一。,公司为多元化经营的国有大型集团企业，拥有11家控股子公司，形成了以消费品、电力、房地产、水泥、燃气、医药和金融七大战略业务单元，拥有华润万家、苏果、雪花啤酒、怡宝纯净水、中艺、华润堂、Pacific Coffee 、999、东阿阿胶等多个著名消费品牌，旗下拥有华润电力（00836.HK）、华润置地（01109.HK）、华润啤酒（00291.HK）、华润医药（03320.HK）、华润燃气（01193.HK）、华润水泥（01313.HK）等多家上市公司。总体而言，公司几大业务板块均具有较强的竞争力，近年收入保持平稳增长。,公司作为控股型公司，主要收入和资产均来自下属子公司；目前资产负债率较高，刚性负债规模很大；但公司主营业务盈利和获现能力很强，偿债压力不大，财务稳健性较好。,业务融合、子公司管控。
中国电力建设集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国务院国有资产监督管理委员会(持股100%),建筑与工程,中央国有企业,2/10,产业,-,,建筑工程,-,-,-,-,-
中国电力建设股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中国电力建设集团有限公司(持股58.34%),建筑与工程,中央国有企业,2/10,产业,公司是电建板块下属重要上市公司，关注海外投资风险。,,建筑工程,国家水利水电政策支持水利水电基础设施建设行业的发展，给公司发展带来机遇；关注建筑企业垫资导致财务杠杆很高的风险。,央企子公司，A股上市，中国电力建设集团有限公司控股58.34%。,中国电建是我国规模最大的水电工程总承包企业，建筑施工资质齐全；新签合同额不断增长，并不断发展非水电业务；关注海外业务风险。公司借助主业，从事电力投资，截至2018年末，控股运营电站总装机容量1348.50万千瓦，其中清洁能源占比78.62%。,财务规模较大，但财务杠杆很高，截至19年3月末，负债率80.61%；关注负债率较高且资金压力较大带来的财务压力。,海外业务风险
中国光大集团股份公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中央汇金投资有限责任公司(持股55.67%),多领域控股,中央国有企业,2/10,产业,财政部直属的国字金控平台，资质良好。,,综合,金融行业，财政部直属的国字金控平台，地位优越,财政部和汇金公司分别持股44.33%和55.67%,财政部及汇金公司对公司支持较多，银行业业务结构改善，非银业务保持增长。,总资产4万多亿，年净利润400多亿，无财务风险,无
中国中车集团有限公司,AAA 展望:稳定,中诚信证券评估有限公司,国资委(持股100%),建筑机械与重型卡车,中央国有企业,2/10,产业,大型央企，中国高端制造国字号平台，收入规模大，盈利能力较好，负债率适中，无财务风险,,运输设备,轨道、高铁设备制造行业，国内高铁、城市轨交持续推进，国际高铁出口、一带一路，行业整体前景较好，公司竞争力强,一线央企序列，外部支持力度大,行业地位突出，竞争力强，订单充足，盈利较好,融资弹性好，负债率适中，债务结构合理，财务风险低,经营管控能力
华能国际电力股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,华能国际电力开发公司(持股32.28%),电力,中央国有企业,2/10,产业,央企，能源战略载体之一，系统重要性强，竞争力强。风险极低。,,电力,火力发电，受煤价上涨因素，行业盈利面临压力，但能获得一定的外部政策支持。,公司实际控制人为国务院国资委，能够获得外部支持。,"公司为国内最大的火力发电企业之一，截至2018年末，公司可控装机容量和权益装机容量分别为10,5973万千瓦和93225万千瓦；其中清洁能源装机规模占比约15.49%。公司单机规模大，发电效率高；2018年年利用小时为4208小时。此外，公司在建、拟建机组装机容量合计726万千瓦，2019年资本预算开支354亿元。","公司整体负债水平较高，2019年3月末资产负债率高达73.63%，18年末总债务达2,416亿元；公司近年利润受煤价影响，下滑较大，总债务/EBITDA上升，偿债压力增大。但公司整体获现能力仍较强，每年经营净现流超过200亿。",煤炭价格、上网小时数、投资压力、债务融资成本。
中国中信有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国中信股份有限公司(持股100%),综合类行业,中央国有企业,2/10,产业,继承中信集团优质资产，控股行业内龙头公司，关注对子公司的实际控制力度。,,综合,关注金融行业监管和流动性风险，关注周期行业波动。,财政部下属子公司，股东背景很强。母公司中信股份由中信集团持股58.13%，为香港上市公司（SEHK/00267），是恒生指数中最大的成份股公司之一。,公司业务多元，以金融业为主，重要控股以及参股子公司包括中信银行、中信证券、中信信托、中信保诚保险、中信重工、中心建设等。子公司实力强大，关注对子公司控制力度。,金融资产占比很大，财务风险可控。,子公司控制力度
中国核工业集团有限公司,AAA 展望:稳定,中诚信证券评估有限公司,国资委(持股100%),综合类行业,中央国有企业,2/10,产业,国务院国资委直接控股，核电受到国家支持明显，公司盈利和现金流良好，财务表现较好。,,电力,目前我国对核电项目持鼓励态度，且批复速度加快，为相关企业的发展创造了较好的条件。,国务院国资委背景，直接控股100%股权。旗下拥有2家A股上市公司，中国核电和中核苏阀。,公司在核电站运营方面行业地位突出，核燃料领域占据主导地位，是国家授权专营的唯一机构，具备完整的产业链条和技术优势。截至2019年3月底，公司管理的核电机组装机容量达到1909千瓦，占我国投运核电总装机容量的41.60%；在建核电机组装机总容量为453万千瓦。未来三年预计有多台机组将投入运营，发电量将保持上升态势。,公司具有较强的盈利能力和现金获取能力，财务表现良好，截止2019年1季度末，总资产规模很大，负债率71.54%。融资弹性好，偿债能力很强。财务风险极低。,无。
中粮集团有限公司,AAA 展望:稳定,联合资信评估有限公司,国资委(持股100%),消费品经销商,中央国有企业,2/10,产业,公司是国务院直属的大型央企集团，业务覆盖粮油全产业链，信用资质很好。,,农业综合,粮油行业关系到国计民生，受到政策的影响比较大。,公司股东是国务院国资委，外部支持力度强。,公司是全球粮油和食品领域的龙头企业，在行业地位、经营规模及品牌知名度等方面形成很强的竞争优势。目前，农产品年经营量达1.6亿吨，全球仓储能力3100万吨，年加工能力9000万吨，年港口中转能力6500万吨。2017年以来，公司持续推进资产专业化重组与结构调整，梳理业务逻辑，将以往相对分散的资产与管理职能按照专业化公司（平台）设计整合，形成中粮国际、中粮贸易、中粮粮谷、中粮油脂、中粮糖业、中国纺织、中粮置地、中粮资本等18个专业化公司，从产权归属和体制机制层面解决核心业务生产、采购、销售、上下游割裂等问题，打通产供销各环节，进而整合资源，提升产业综合竞争力及盈利能力。总体看，公司经营较为稳定。,公司资产负债率较高，且短期负债占比较多，但是由于公司央企的地位，外部融资渠道较为畅通，财务情况较为稳健。,国家粮食政策的变动对公司的影响。
中国国电集团有限公司,AAA 展望:稳定,大公国际资信评估有限公司,国务院国有资产监督管理委员会(持股100%),电力,中央国有企业,2/10,产业,公司系五大电力集团之一，风险可控,,电力,能源电力行业，关注电力下游需求增速放缓及新能源投资周期。,国资委直属央企，具备战略重要性。,"央企，我国五大发电集团之一，总装机容量为13,524万千瓦，旗下多家上市公司，总资产及收入规模大，近年新能源板块收入下滑，经营出现亏损，总体产业健康发展，具备国家级战略重要性，资质优。",公司负债率82%，货币资金及即时可变现资产规模较大，长短期债务规模配置相当。融资弹性好，财务风险可控。,电力行业政策变化及经济增速放缓背景下用电需求增速放缓对公司整体业绩的影响。
中国长江电力股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国长江三峡集团有限公司(持股57.92%),电力,中央国有企业,2/10,产业,上市国企，央企序列，盈利能力强，现金流好。,,电力,水利发电企业，投入成本高，运营成本低。,上市国企，三峡集团下属上市公司，外部支持强,公司主要从事水力发电业务，运营管理或受托管理三峡电站、葛洲坝电站、溪洛渡电站、向家坝电站等长江流域4座梯级电站。经营稳定，盈利能力强，现金奶牛！,总资产规模大，负债率适中，盈利能力强，偿债能力强，无明显的财务风险。,不可抗力，基本无风险
国投电力控股股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,国家开发投资集团有限公司(持股49.18%),电力,中央国有企业,2/10,产业,电力央企公司且上市，整体稳定性较好，公司的市场认可度很高。,,电力,近年来，我国电力需求较为平稳，但受经济结构调整和能源消费方式转变的影响，电力消费低速增长；总体来看，火电存在过剩、煤价上涨以及环保压力，水电受自然影响较大，风点、光伏以及生物质发电等新能源电力受政策影响较大。,上市央企，股票代码600886.SH；控股股东为国家开发投资集团有限公司，持股比例49.18%；实际控制人为国资委,公司为电力龙头企业之一，截至2018年末，公司已投产控股装机容量为3405.5万千瓦；控股电源结构合理，水电、火电、风电、光伏占比49%、46%、3.23%和1.4%；业务全国布局，主要分布于四川、甘肃、天津、福建、广西、云南、安徽等地区，控股雅砻江水电；2018年发电量1517亿千瓦时，发电利用小时水平尚可。2017年公司实现收入316亿，同比增长，实现净利66亿，有所下降。2018年，公司收入及净利同比增速较2017年有所提升，分别为410.11亿元、83.77亿元，显示景气度有所改善。,资产规模很大，抗风险能力强，截至2019年1季度末，总资产2210亿元，所有者权益723亿元；盈利与现金获取能力较好；负债水平偏高，资产负债率67.28%%。,火电过剩、煤价上涨以及环保压力、水电来水情况影响、债务压力
国家开发投资集团有限公司,AAA 展望:稳定,联合资信评估有限公司,国务院国有资产管理委员会(持股100%),综合类行业,中央国有企业,2/10,产业,国务院国资委直属大型央企，实力雄厚。,,综合,电力、矿业、战略性产业和金融服务业，行业大多属于竞争性行业，但能够获得一定政策支持。,公司为国务院国资委直属大型央企，能够获得一定外部支持。,公司为中央直属国有投资控股公司，承担了国有资产结构调整职能，目前主要业务包括基础产业、战略性产业、金融及服务业和国际业务四大板块。其中，基础产业是公司主要收入来源，包括电力、矿业和物流；截至2018年末，截至 2018年12月31日，发行人可控装机容量 3405.50万千瓦，其中，火电控股装机容量为 1575.60 万千瓦，水电装机容量为 1672.00万千瓦，风电装机容量为110.10 万千瓦，光伏发电装机容量为 47.80 万千瓦。2016年剥离煤炭板块后，矿业主要为化肥业务；物流以港口业务为主，包括曹妃甸、京唐港、洋浦港、镇江港。金融业主要涉及信托、基金、证券、期货、担保等，牌照齐全，具有一定竞争力。,公司资产规模很大，但整体杠杆水平较高，2018年末资产负债率为68.88%；业务剥离导致收入规模有所波动，但盈利保持稳定，获现能力较强，2015-2018年EBITDA全部债务均超过15%，偿债能力尚可。,国企改革、投资风险管控。
中国华融国际控股有限公司,-,-,-,-,-,2/10,产业,-,,,-,-,-,-,-
中国兵器工业集团有限公司,AAA 展望:稳定,中诚信证券评估有限公司,国资委(持股100%),航天航空与国防,中央国有企业,2/10,产业,公司是少数几家兼具战略重要性和垄断地位的央企之一，下属控股上市公司12家,,专用设备,军品、重型装备、化工和光电信息行业。军品行业边际改善明确，且具有很高的政策保护门槛。,国务院国资委直属央企。,"公司为中国最大的武器装备制造企业之一，基本代表我国兵器工业发展方向和最高水平；同时，公司业务板块还覆盖重型装备、化工、新能源新材料三大军民融合产业以及能源贸易为主的战略资源板块。公司是少数几家兼具战略重要性和垄断地位的央企之一，下属控股上市公司12家，2016年营业收入达4,074亿元。",公司资本结构合理，负债水平不高，2016年末资产负债率为60.46%；毛利率水平不高，但保持平稳增长，且业务获现能力稳定；总债务/EBITDA资本比为3.11，具有较强偿债能力。,海外板块政治风险。
